kakao_id,name,phone,address,latitude,longitude,category,url,source,website,instagram,description,created_at,updated_at
752838860,아난다요가,070-4133-2177,서울 서대문구 연희로11가길 48-10,37.56696602058012,126.92745037231091,"스포츠,레저 > 요가,필라테스 > 요가원",http://place.map.kakao.com/752838860,kakao,,,,2025-10-14T08:13:50.491Z,2025-10-14T08:13:51.061Z
1261497538,아메리카요가 홍대점,0502-5551-4302,서울 마포구 양화로 166,37.556741249877874,126.92416462191098,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/1261497538,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
12818607,아메리카요가 건대점,02-464-2020,서울 광진구 아차산로 213,37.5413718511628,127.06718517506,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/12818607,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
1677661374,아메리카요가 연신내점,02-387-7888,서울 은평구 연서로 201,37.616743742371,126.91872924448,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/1677661374,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
745056355,아메리카요가 서울대입구역점,02-877-3575,서울 관악구 남부순환로 1797,37.4818852340336,126.949926964037,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/745056355,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
163525068,아메리카요가플러스기구필라테스 부천점,032-654-5400,경기 부천시 원미구 부천로 3-1,37.484678639008294,126.78187672379681,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/163525068,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:57.473Z
899835575,아메리카요가 종로점,0503-7151-7303,서울 종로구 삼일대로17길 51,37.5690956427065,126.98463957341,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/899835575,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
1991008447,아메리카요가 삼성중앙역점,02-516-5151,서울 강남구 봉은사로 467,37.5125192175023,127.050627366468,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/1991008447,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
969081911,아메리카요가 문정점,02-424-8080,서울 송파구 법원로 114,37.4860541974218,127.12101051106,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/969081911,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
13126136,아메리카요가 청량리점,0503-7152-6729,서울 동대문구 왕산로 225,37.58167879470341,127.0467230262263,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/13126136,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
1875542754,아메리카요가 중계점,02-933-1717,서울 노원구 한글비석로 232,37.6484469235989,127.07694042182,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/1875542754,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
27220112,아메리카요가 당산점,0502-5551-6122,서울 영등포구 당산로 222,37.5332847771332,126.902278851576,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/27220112,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
795087509,아메리카요가 용산점,02-792-9777,서울 용산구 새창로 213-12,37.5304773126681,126.968000721598,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/795087509,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
1822059246,아메리카요가 서대문역점,02-363-7773,서울 서대문구 통일로 127,37.5658535680153,126.966002522358,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/1822059246,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
544475571,아메리카요가 잠실새내역점,02-423-5505,서울 송파구 올림픽로 120,37.5113792841731,127.084092626722,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/544475571,kakao,,,,2025-10-14T08:13:50.492Z,2025-10-14T08:13:51.061Z
1724048373,아메리카요가 부평역점,032-508-5660,인천 부평구 경원대로 1404,37.4909067618118,126.725058461152,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/1724048373,kakao,,,,2025-10-14T08:13:50.713Z,2025-10-14T08:13:51.282Z
27306514,아메리카요가 석계역점,02-943-0214,서울 노원구 석계로 17,37.616282113141544,127.06426117680392,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/27306514,kakao,,,,2025-10-14T08:13:50.713Z,2025-10-14T08:13:51.283Z
27540554,아메리카요가 여의도점,02-784-4545,서울 영등포구 여의대방로 394,37.5193945970331,126.932762138619,"스포츠,레저 > 요가,필라테스 > 요가원 > 아메리카요가",http://place.map.kakao.com/27540554,kakao,,,,2025-10-14T08:13:50.713Z,2025-10-14T08:13:51.283Z
